"거주지역별(1)","성별(1)",2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020
"거주지역별(1)","성별(1)",총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자
"경기도","남자",1574029,35235,292361,471653,406513,208100,116478,22986,20703,1615124,31809,281969,477979,429215,219433,125915,26877,21927,1639115,30106,275964,482304,438104,229417,130238,29612,23370,1684388,33968,278319,484546,447214,247687,135648,33988,23018,1714341,31778,274719,485429,455790,263034,140260,39010,24321,1760672,32656,274381,493345,463564,278603,149268,43941,24914,1823763,34062,281349,501193,478096,298135,156216,49323,25389,1891708,33719,282760,514574,494963,321885,163221,55267,25319,1949089,37199,274536,525139,505396,350987,170018,60839,24975
"경기도","여자",1149011,30518,211170,341771,284289,158091,95440,21661,6071,1201443,27488,204758,356769,308723,167811,104193,25404,6297,1241620,26116,198117,368807,326682,177219,109642,28439,6598,1306944,29520,197746,379989,348292,196105,115723,32953,6616,1355414,27452,193663,385686,367401,213842,122125,38232,7013,1408934,28042,191213,391264,386786,230230,131153,42927,7319,1483940,29388,196381,396218,413138,251429,140638,48800,7948,1562334,29829,197537,403267,439620,277898,150264,55729,8190,1638250,32624,194482,409456,459066,311520,159911,62763,8428
"강원도","총계",361897,7545,44883,81527,98347,64147,45341,9844,10263,378828,6874,43638,83067,103992,68012,50611,11535,11099,384092,6469,42167,84058,103694,70346,52489,12139,12730,395250,8320,43028,85919,104741,74114,53548,13590,11990,407573,7127,42430,85640,107049,80489,55933,16097,12808,416492,7078,40809,85455,107196,86022,58470,18292,13170,426399,7172,40290,84496,109058,91602,59911,21177,12693,440683,7283,40833,85155,111583,98790,60576,23682,12781,459542,7724,41717,87067,113661,108743,61333,26458,12839
"강원도","남자",216477,4483,25505,46686,58626,38750,27683,5770,8974,224857,4143,24872,47110,61257,40633,30487,6647,9708,226414,3996,24253,47228,60167,41727,31225,6664,11154,229969,5080,24928,47861,59500,43328,31473,7341,10458,235437,4318,24836,47420,59915,46636,32495,8714,11103,239480,4270,24112,47214,59107,49631,33765,10006,11375,243015,4347,23961,46592,59179,52359,34118,11652,10807,248979,4362,24402,46874,59812,55681,34143,12921,10784,257233,4603,25143,47785,60282,60326,34030,14222,10842
"강원도","여자",145420,3062,19378,34841,39721,25397,17658,4074,1289,153971,2731,18766,35957,42735,27379,20124,4888,1391,157678,2473,17914,36830,43527,28619,21264,5475,1576,165281,3240,18100,38058,45241,30786,22075,6249,1532,172136,2809,17594,38220,47134,33853,23438,7383,1705,177012,2808,16697,38241,48089,36391,24705,8286,1795,183384,2825,16329,37904,49879,39243,25793,9525,1886,191704,2921,16431,38281,51771,43109,26433,10761,1997,202309,3121,16574,39282,53379,48417,27303,12236,1997
"충청북도","총계",385708,9237,59838,93530,98469,60288,42312,9693,12341,401423,8394,59327,96704,103009,63556,45671,11346,13416,406834,8117,57621,98636,103913,66236,45956,11274,15081,414536,9364,57414,99532,106136,69810,45046,12453,14781,426272,8154,55380,99235,109299,76707,46837,14734,15926,441796,7929,53726,99499,112553,83781,50509,17219,16580,453048,8448,53446,98949,115498,89050,52064,19846,15747,469366,8596,53270,99145,120105,95320,54017,22319,16594,482771,9023,52281,99825,121707,103199,55469,24319,16948
"충청북도","남자",237524,5446,35564,54934,60011,37660,26690,6185,11034,244921,4969,35361,55759,61856,39254,28516,7187,12019,245502,4844,34581,56192,61213,40330,28094,6675,13573,246527,5507,34702,56014,61083,41654,27066,7247,13254,251799,4809,33740,55320,61925,45297,27909,8541,14258,259881,4728,32964,55534,62952,49138,29912,9903,14750,264455,5033,33129,55472,63364,51424,30552,11630,13851,272467,5141,33178,55953,64977,54338,31371,12950,14559,277872,5390,32620,56455,65266,57780,31745,13815,14801
"충청북도","여자",148184,3791,24274,38596,38458,22628,15622,3508,1307,156502,3425,23966,40945,41153,24302,17155,4159,1397,161332,3273,23040,42444,42700,25906,17862,4599,1508,168009,3857,22712,43518,45053,28156,17980,5206,1527,174473,3345,21640,43915,47374,31410,18928,6193,1668,181915,3201,20762,43965,49601,34643,20597,7316,1830,188593,3415,20317,43477,52134,37626,21512,8216,1896,196899,3455,20092,43192,55128,40982,22646,9369,2035,204899,3633,19661,43370,56441,45419,23724,10504,2147
"충청남도","총계",476502,11168,74652,109195,110639,76934,58976,15490,19448,498651,10145,73508,112831,117645,80990,63375,18701,21456,520719,11085,77567,118609,120549,84480,64944,19922,23563,533423,13150,78218,121537,123915,89743,62858,21339,22663,555471,12596,81183,125669,127612,96867,63410,24300,23834,583830,12211,81758,129937,133135,104125,69053,28819,24792,604516,12327,82991,132395,139334,109384,71518,32606,23961,620151,11941,81142,134434,144477,114915,73926,35399,23917,634615,11804,76220,136126,146755,124144,77481,38008,24077
"충청남도","남자",299319,6249,45989,65560,68177,48831,37285,9791,17437,312012,5727,45464,67108,71783,51050,39789,11844,19247,322316,6147,48543,69807,72131,52511,39984,12094,21099,325831,7263,49313,70906,72736,54816,37999,12619,20179,337002,6995,51656,72959,73452,58316,38078,14325,21221,353700,6908,52178,75622,75901,62414,41756,16934,21987,362834,7030,53006,77372,78028,64395,42822,19168,21013,369603,6776,51879,79089,80032,66495,43909,20503,20920,375441,6651,48674,80608,80774,70659,45595,21576,20904
