"날짜","종가","오픈","고가","저가","거래량","변동 %"
"1994- 10- 01","14.56","15.69","17.22","12.75","","1.96%"
"1994- 09- 01","14.28","12.17","16.08","11.17","","19.30%"
"1994- 08- 01","11.97","11.71","13.34","10.75","","7.55%"
"1994- 07- 01","11.13","14.89","15.63","10.96","","-25.65%"
"1994- 06- 01","14.97","13.16","17.71","10.48","","14.89%"
"1994- 05- 01","13.03","14.42","16.65","11.44","","-5.37%"
"1994- 04- 01","13.77","23.61","28.30","13.05","","-32.67%"
"1994- 03- 01","20.45","12.58","21.94","11.58","","37.53%"
"1994- 02- 01","14.87","10.81","16.31","10.21","","39.89%"
"1994- 01- 01","10.63","11.28","13.42","9.59","","-8.83%"
"1993- 12- 01","11.66","12.93","14.76","8.89","","-15.26%"
"1993- 11- 01","13.76","12.02","16.46","11.49","","20.07%"
"1993- 10- 01","11.46","12.56","14.79","10.00","","-11.78%"
"1993- 09- 01","12.99","11.30","18.31","10.75","","9.62%"
"1993- 08- 01","11.85","11.81","13.25","10.80","","1.02%"
"1993- 07- 01","11.73","10.49","14.37","9.11","","4.17%"
"1993- 06- 01","11.26","13.64","15.88","10.86","","-16.41%"
"1993- 05- 01","13.47","13.25","15.11","11.96","","8.45%"
"1993- 04- 01","12.42","13.04","15.45","10.71","","-0.88%"
"1993- 03- 01","12.53","13.13","16.37","10.66","","-4.79%"
"1993- 02- 01","13.16","12.51","16.65","11.69","","5.96%"
"1993- 01- 01","12.42","12.96","15.06","10.98","","-1.19%"
"1992- 12- 01","12.57","12.94","13.89","10.29","","-3.38%"
"1992- 11- 01","13.01","17.02","17.92","11.38","","-19.44%"
"1992- 10- 01","16.15","15.44","25.13","15.03","","13.10%"
"1992- 09- 01","14.28","11.87","15.42","10.69","","5.15%"
"1992- 08- 01","13.58","14.05","16.52","12.34","","3.11%"
"1992- 07- 01","13.17","13.43","16.36","11.36","","-1.35%"
"1992- 06- 01","13.35","14.47","18.53","12.73","","-3.68%"
"1992- 05- 01","13.86","14.87","17.76","12.77","","-10.75%"
"1992- 04- 01","15.53","16.93","21.44","14.83","","-4.02%"
"1992- 03- 01","16.18","17.44","21.06","15.46","","-3.00%"
"1992- 02- 01","16.68","17.08","19.31","15.34","","-4.14%"
"1992- 01- 01","17.40","19.69","20.30","14.12","","-9.89%"
"1991- 12- 01","19.31","20.18","20.57","15.44","","-4.69%"
"1991- 11- 01","20.26","15.60","21.92","13.95","","30.88%"
"1991- 10- 01","15.48","14.81","18.58","14.81","","-2.33%"
"1991- 09- 01","15.85","16.57","18.22","15.35","","9.61%"
