발표일,실제
1995년 08월 01일 (7월),2.80%
1995년 07월 01일 (6월),3.00%
1995년 06월 01일 (5월),3.20%
1995년 05월 01일 (4월),3.10%
1995년 04월 01일 (3월),2.90%
1995년 03월 01일 (2월),2.90%
1995년 02월 01일 (1월),2.80%
1995년 01월 01일 (12월),2.70%
1994년 12월 01일 (11월),2.70%
1994년 11월 01일 (10월),2.60%
1994년 10월 01일 (9월),3.00%
1994년 09월 01일 (8월),2.90%
1994년 08월 01일 (7월),2.80%
1994년 07월 01일 (6월),2.50%
1994년 06월 01일 (5월),2.30%
1994년 05월 01일 (4월),2.40%
1994년 04월 01일 (3월),2.50%
1994년 03월 01일 (2월),2.50%
1994년 02월 01일 (1월),2.50%
1994년 01월 01일 (12월),2.70%
1993년 12월 01일 (11월),2.70%
1993년 11월 01일 (10월),2.80%
1993년 10월 01일 (9월),2.70%
1993년 09월 01일 (8월),2.80%
1993년 08월 01일 (7월),2.80%
1993년 07월 01일 (6월),3.00%
1993년 06월 01일 (5월),3.20%
1993년 05월 01일 (4월),3.20%
1993년 04월 01일 (3월),3.10%
1993년 03월 01일 (2월),3.20%
1993년 02월 01일 (1월),3.30%
1993년 01월 01일 (12월),2.90%
1992년 12월 01일 (11월),3.00%
1992년 11월 01일 (10월),3.20%
1992년 10월 01일 (9월),3.00%
1992년 09월 01일 (8월),3.10%
1992년 08월 01일 (7월),3.20%
1992년 07월 01일 (6월),3.10%
1992년 06월 01일 (5월),3.00%
1992년 05월 01일 (4월),3.20%
1992년 04월 01일 (3월),3.20%
1992년 03월 01일 (2월),2.80%
1992년 02월 01일 (1월),2.60%
1992년 01월 01일 (12월),3.10%
1991년 12월 01일 (11월),3.00%
1991년 11월 01일 (10월),2.90%
1991년 10월 01일 (9월),3.40%
1991년 09월 01일 (8월),3.80%
1991년 08월 01일 (7월),4.40%
1991년 07월 01일 (6월),4.70%
1991년 06월 01일 (5월),5.00%
1991년 05월 01일 (4월),4.90%
1991년 04월 01일 (3월),4.90%
1991년 03월 01일 (2월),5.30%
1991년 02월 01일 (1월),5.70%
1991년 01월 01일 (12월),6.10%
1990년 12월 01일 (11월),6.30%
1990년 11월 01일 (10월),6.30%
1990년 10월 01일 (9월),6.20%
1990년 09월 01일 (8월),5.60%
1990년 08월 01일 (7월),4.80%
1990년 07월 01일 (6월),4.70%
1990년 06월 01일 (5월),4.40%
1990년 05월 01일 (4월),4.70%
1990년 04월 01일 (3월),5.20%
1990년 03월 01일 (2월),5.30%
1990년 02월 01일 (1월),5.20%
1990년 01월 01일 (12월),4.60%
1989년 12월 01일 (11월),4.70%
1989년 11월 01일 (10월),4.50%
1989년 10월 01일 (9월),4.30%
1989년 09월 01일 (8월),4.70%
1989년 08월 01일 (7월),5.00%
1989년 07월 01일 (6월),5.20%
1989년 06월 01일 (5월),5.40%
1989년 05월 01일 (4월),5.10%
1989년 04월 01일 (3월),5.00%
1989년 03월 01일 (2월),4.80%
1989년 02월 01일 (1월),4.70%
1989년 01월 01일 (12월),4.40%
1988년 12월 01일 (11월),4.20%
1988년 11월 01일 (10월),4.20%
1988년 10월 01일 (9월),4.20%
1988년 09월 01일 (8월),4.00%
1988년 08월 01일 (7월),4.10%
1988년 07월 01일 (6월),4.00%
1988년 06월 01일 (5월),3.90%
1988년 05월 01일 (4월),3.90%
1988년 04월 01일 (3월),3.90%
1988년 03월 01일 (2월),3.90%
1988년 02월 01일 (1월),4.00%
1988년 01월 01일 (12월),4.40%
1987년 12월 01일 (11월),4.50%
1987년 11월 01일 (10월),4.50%
1987년 10월 01일 (9월),4.40%
1987년 09월 01일 (8월),4.30%
1987년 08월 01일 (7월),3.90%
1987년 07월 01일 (6월),3.70%
1987년 06월 01일 (5월),3.90%
1987년 05월 01일 (4월),3.80%
1987년 04월 01일 (3월),3.00%
1987년 03월 01일 (2월),2.10%
1987년 02월 01일 (1월),1.50%
1987년 01월 01일 (12월),1.10%
1986년 12월 01일 (11월),1.30%
1986년 11월 01일 (10월),1.50%
1986년 10월 01일 (9월),1.80%
1986년 09월 01일 (8월),1.60%
1986년 08월 01일 (7월),1.60%
1986년 07월 01일 (6월),1.80%
1986년 06월 01일 (5월),1.50%
1986년 05월 01일 (4월),1.60%
1986년 04월 01일 (3월),2.30%
1986년 03월 01일 (2월),3.10%
1986년 02월 01일 (1월),3.90%
1986년 01월 01일 (12월),3.80%
1985년 12월 01일 (11월),3.50%
1985년 11월 01일 (10월),3.20%
1985년 10월 01일 (9월),3.10%
1985년 09월 01일 (8월),3.30%
1985년 08월 01일 (7월),3.60%
1985년 07월 01일 (6월),3.80%
1985년 06월 01일 (5월),3.80%
1985년 05월 01일 (4월),3.70%
1985년 04월 01일 (3월),3.70%
1985년 03월 01일 (2월),3.50%
1985년 02월 01일 (1월),3.50%
1985년 01월 01일 (12월),3.90%
1984년 12월 01일 (11월),4.10%
1984년 11월 01일 (10월),4.30%
1984년 10월 01일 (9월),4.30%
