"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2002년 3월","119.060","119.350","119.700","116.800","23.90K","-0.18%"
"2002년 2월","119.280","120.450","120.550","118.260","25.90K","-1.09%"
"2002년 1월","120.590","116.810","120.800","116.000","20.09K","2.88%"
"2001년 12월","117.210","115.630","118.850","114.800","25.60K","1.44%"
"2001년 11월","115.550","114.900","117.980","113.920","34.94K","0.35%"
"2001년 10월","115.150","114.010","116.600","112.620","17.64K","1.04%"
"2001년 9월","113.960","114.310","116.140","111.350","11.03K","0.37%"
"2001년 8월","113.540","117.250","117.250","112.470","21.49K","-3.28%"
"2001년 7월","117.390","119.700","121.290","116.580","38.33K","-1.97%"
"2001년 6월","119.750","119.140","120.370","117.500","20.90K","0.47%"
"2001년 5월","119.190","115.820","119.330","114.380","22.59K","2.79%"
"2001년 4월","115.950","117.770","117.890","114.010","21.57K","-1.43%"
"2001년 3월","117.630","112.010","117.780","110.810","20.45K","5.03%"
"2001년 2월","112.000","110.300","113.650","109.400","14.63K","1.33%"
"2001년 1월","110.530","109.110","112.600","108.040","20.13K","1.14%"
"2000년 12월","109.280","115.160","115.430","109.270","14.79K","-5.06%"
"2000년 11월","115.100","116.520","118.450","114.050","17.96K","-1.30%"
"2000년 10월","116.620","112.870","118.900","112.720","14.53K","3.20%"
"2000년 9월","113.000","112.300","116.450","111.200","15.70K","0.38%"
"2000년 8월","112.570","109.280","112.880","109.100","14.61K","2.93%"
"2000년 7월","109.370","106.630","109.700","106.440","12.94K","2.62%"
"2000년 6월","106.580","108.540","109.350","105.500","13.80K","-1.94%"
"2000년 5월","108.690","109.680","112.660","108.140","27.64K","-1.18%"
"2000년 4월","109.990","105.310","110.150","103.850","24.46K","4.59%"
"2000년 3월","105.160","106.160","106.630","104.180","26.92K","-0.68%"
"2000년 2월","105.880","104.860","106.240","102.920","18.08K","0.87%"
"2000년 1월","104.970","101.390","105.140","99.400","25.25K","3.39%"
"1999년 12월","101.530","101.900","102.730","100.500","16.41K","-0.37%"
"1999년 11월","101.910","98.770","102.300","98.550","24.38K","3.01%"
"1999년 10월","98.930","98.190","99.710","96.650","24.99K","0.74%"
"1999년 9월","98.200","100.000","101.120","97.920","17.04K","-1.66%"
"1999년 8월","99.860","99.800","101.370","98.680","20.70K","0.32%"
"1999년 7월","99.540","102.470","104.600","99.420","26.29K","-2.92%"
"1999년 6월","102.530","102.230","103.330","100.900","23.73K","0.02%"
"1999년 5월","102.510","100.820","102.550","99.180","33.42K","1.61%"
"1999년 4월","100.890","99.890","101.270","99.250","17.70K","0.97%"
"1999년 3월","99.920","98.850","100.580","98.010","22.57K","1.25%"
"1999년 2월","98.690","95.830","99.450","95.370","30.64K","2.76%"
"1999년 1월","96.040","93.700","96.160","93.120","31.48K","2.21%"
"1998년 12월","93.960","96.040","96.000","93.160","24.30K","-2.31%"
"1998년 11월","96.180","93.400","96.950","93.220","23.16K","2.73%"
"1998년 10월","93.620","96.020","96.190","90.740","25.71K","-2.50%"
