"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2009- 03- 01","1,237.01","1,098.99","1,281.30","1,040.41","8.60B","10.74%"
"2009- 02- 01","1,116.99","1,168.13","1,286.90","1,112.12","7.67B","-5.36%"
"2009- 01- 01","1,180.25","1,212.74","1,286.08","1,136.61","7.40B","-2.59%"
"2008- 12- 01","1,211.65","1,156.53","1,251.56","1,091.04","7.87B","2.18%"
"2008- 11- 01","1,185.75","1,333.19","1,382.65","1,018.86","8.62B","-11.17%"
"2008- 10- 01","1,334.78","1,581.06","1,584.26","1,149.12","14.22B","-16.30%"
"2008- 09- 01","1,594.63","1,904.21","1,912.72","1,496.15","9.81B","-14.84%"
"2008- 08- 01","1,872.54","1,847.47","1,973.56","1,802.09","6.70B","1.26%"
"2008- 07- 01","1,849.15","1,821.93","1,874.83","1,761.08","9.50B","0.66%"
"2008- 06- 01","1,837.09","2,026.58","2,055.82","1,829.30","8.47B","-9.62%"
"2008- 05- 01","2,032.57","1,921.87","2,050.79","1,921.05","7.65B","5.99%"
"2008- 04- 01","1,917.70","1,806.15","1,953.59","1,776.60","7.82B","7.62%"
"2008- 03- 01","1,781.93","1,743.92","1,831.98","1,668.57","9.19B","2.10%"
"2008- 02- 01","1,745.27","1,846.07","1,864.97","1,714.86","9.87B","-5.22%"
"2008- 01- 01","1,841.42","2,085.53","2,094.22","1,693.06","12.25B","-11.68%"
"2007- 12- 01","2,084.93","2,080.10","2,147.68","1,999.59","6.82B","-0.20%"
"2007- 11- 01","2,089.10","2,223.52","2,226.88","1,980.18","10.05B","-6.69%"
"2007- 10- 01","2,238.98","2,092.60","2,239.23","2,088.79","9.95B","7.07%"
"2007- 09- 01","2,091.11","1,989.28","2,101.96","1,943.27","7.64B","5.15%"
"2007- 08- 01","1,988.73","1,929.09","1,995.00","1,805.66","10.54B","2.93%"
"2007- 07- 01","1,932.06","1,943.28","2,060.29","1,931.99","9.04B","-0.11%"
"2007- 06- 01","1,934.10","1,934.74","1,948.58","1,876.52","8.69B","0.31%"
"2007- 05- 01","1,928.19","1,872.34","1,931.10","1,857.33","8.83B","3.24%"
"2007- 04- 01","1,867.75","1,775.92","1,896.77","1,761.65","7.99B","5.38%"
"2007- 03- 01","1,772.36","1,729.03","1,807.43","1,710.97","16.49B","0.61%"
"2007- 02- 01","1,761.65","1,801.60","1,851.47","1,746.29","17.13B","-1.71%"
"2007- 01- 01","1,792.28","1,769.22","1,847.54","1,731.71","21.01B","2.01%"
"2006- 12- 01","1,756.90","1,790.63","1,821.18","1,746.07","14.25B","-1.92%"
"2006- 11- 01","1,791.25","1,738.55","1,824.21","1,693.19","16.53B","3.39%"
"2006- 10- 01","1,732.54","1,650.32","1,745.79","1,623.07","18.52B","4.74%"
"2006- 09- 01","1,654.13","1,589.21","1,666.03","1,558.17","17.24B","4.71%"
"2006- 08- 01","1,579.73","1,498.17","1,586.60","1,476.06","16.95B","4.66%"
"2006- 07- 01","1,509.43","1,580.63","1,586.44","1,446.77","16.94B","-4.18%"
"2006- 06- 01","1,575.23","1,581.08","1,626.29","1,511.53","9.52B","-0.28%"
"2006- 05- 01","1,579.58","1,706.80","1,721.13","1,554.76","","-7.12%"
"2006- 04- 01","1,700.71","1,715.12","1,750.23","1,684.35","","-0.17%"
"2006- 03- 01","1,703.66","1,675.92","1,720.20","1,634.25","","1.98%"
"2006- 02- 01","1,670.57","1,697.12","1,714.28","1,637.26","","-2.35%"
"2006- 01- 01","1,710.75","1,654.39","1,761.46","1,633.62","","3.98%"
"2005- 12- 01","1,645.20","1,683.39","1,716.65","1,641.86","","-1.64%"
"2005- 11- 01","1,672.56","1,572.97","1,704.42","1,570.75","","5.91%"
"2005- 10- 01","1,579.18","1,603.47","1,617.77","1,515.42","","-1.40%"
"2005- 09- 01","1,601.66","1,581.23","1,619.12","1,551.81","","1.26%"
"2005- 08- 01","1,581.71","1,609.74","1,628.57","1,551.31","","-1.46%"
"2005- 07- 01","1,605.14","1,497.02","1,619.95","1,484.18","","7.47%"
"2005- 06- 01","1,493.52","1,541.73","1,568.96","1,490.02","","-3.18%"
"2005- 05- 01","1,542.63","1,421.90","1,551.12","1,415.60","","8.58%"
"2005- 04- 01","1,420.79","1,491.83","1,503.21","1,394.36","","-4.16%"
"2005- 03- 01","1,482.53","1,516.63","1,552.53","1,458.26","","-1.89%"
"2005- 02- 01","1,511.02","1,521.00","1,561.17","1,489.99","","-0.57%"
"2005- 01- 01","1,519.63","1,628.75","1,635.45","1,480.66","","-6.26%"
"2004- 12- 01","1,621.12","1,578.25","1,635.70","1,577.77","","3.16%"
"2004- 11- 01","1,571.50","1,486.25","1,593.16","1,479.86","","5.70%"
"2004- 10- 01","1,486.72","1,426.38","1,496.98","1,416.29","","5.24%"
"2004- 09- 01","1,412.74","1,363.27","1,440.81","1,360.58","","3.22%"
"2004- 08- 01","1,368.68","1,390.21","1,408.31","1,301.93","","-2.26%"
"2004- 07- 01","1,400.39","1,514.82","1,514.82","1,359.20","","-7.66%"
"2004- 06- 01","1,516.64","1,457.71","1,523.48","1,445.21","","3.44%"
"2004- 05- 01","1,466.22","1,409.06","1,469.23","1,372.46","","4.63%"
"2004- 04- 01","1,401.36","1,438.91","1,508.37","1,401.36","","-2.58%"
"2004- 03- 01","1,438.41","1,476.04","1,494.67","1,368.08","","-2.17%"
"2004- 02- 01","1,470.38","1,497.78","1,524.09","1,452.49","","-1.52%"
"2004- 01- 01","1,493.08","1,474.16","1,559.47","1,458.51","","1.71%"
